,Unnamed: 0,age,duration,campaign,previous,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,default_no,default_unknown,default_yes,contact_cellular,contact_telephone,poutcome_failure,poutcome_nonexistent,poutcome_success,job_admin.,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,education_basic.4y,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,education_unknown,marital_divorced,marital_married,marital_single,marital_unknown,day_of_week_fri,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,loan_no,loan_unknown,loan_yes,housing_no,housing_unknown,housing_yes,month_apr,month_aug,month_dec,month_jul,month_jun,month_mar,month_may,month_nov,month_oct,month_sep
3755,3755,0.19753086419753085,0.06742911603526328,0.10526315789473684,0.0,1.0,0.4844115354637495,0.6150627615062758,0.9814101110859216,1.0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0
5882,5882,0.4938271604938272,0.13986180605194187,0.02631578947368421,0.0,0.6875,0.3893219017926697,0.3682008368200835,0.7902969848107007,0.8778827977315693,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
3688,3688,0.2345679012345679,0.08887300452704312,0.02631578947368421,0.0,1.0,0.8823070927513612,0.37656903765690375,0.9807299931988211,1.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
1236,1236,0.16049382716049382,0.18274958303550154,0.07894736842105263,0.0,0.6875,0.3893219017926697,0.3682008368200835,0.7803219224665608,0.8778827977315693,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4257,4257,0.14814814814814814,0.03645461043602573,0.02631578947368421,0.0,0.33333333333333337,0.269680436476996,0.19246861924686165,0.1466787576513262,0.512287334593573,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
6216,6216,0.19753086419753085,0.08410769597331427,0.0,0.0,0.33333333333333337,0.3406079501169117,0.15481171548117126,0.17705735660847882,0.512287334593573,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
6163,6163,0.19753086419753085,0.12580414581844174,0.0,0.0,0.33333333333333337,0.3406079501169117,0.15481171548117126,0.18159147585581506,0.512287334593573,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
8281,8281,0.4691358024691357,0.024779604479390042,0.02631578947368421,0.16666666666666666,0.33333333333333337,0.4551831644582976,0.6694560669456067,0.0038540013602357532,0.17051039697542336,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
7555,7555,0.1728395061728395,0.2091970455086967,0.05263157894736842,0.0,0.10416666666666674,0.0,0.8117154811715479,0.05327590115620043,0.4257088846880883,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6232,6232,0.14814814814814814,0.06409340004765307,0.02631578947368421,0.0,0.33333333333333337,0.3406079501169117,0.15481171548117126,0.17592382679664476,0.512287334593573,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
