,0
3755,0
5882,1
3688,0
1236,0
4257,0
6216,1
6163,1
8281,1
7555,1
6232,1
7023,1
8138,1
8571,1
781,0
4247,0
3721,0
887,0
2053,0
991,0
6750,1
3232,0
3615,0
8307,1
8725,1
2664,0
1266,0
4515,0
7823,1
7106,1
450,0
5334,1
3699,0
442,0
7835,1
372,0
3271,0
3016,0
1850,0
4892,1
8999,1
7510,1
8453,1
240,0
9216,1
7060,1
9097,1
3008,0
2834,0
7057,1
2245,0
5260,1
3256,0
2924,0
1164,0
7086,1
4050,0
8030,1
8343,1
2966,0
3906,0
9113,1
7625,1
6313,1
582,0
4079,0
6331,1
3466,0
1612,0
1690,0
2213,0
3366,0
1382,0
9061,1
3931,0
1757,0
6490,1
673,0
8825,1
5076,1
2894,0
8152,1
3039,0
5409,1
6471,1
7469,1
1762,0
249,0
8855,1
2931,0
29,0
4270,0
7448,1
3586,0
8920,1
696,0
6858,1
9252,1
6728,1
467,0
6268,1
3605,0
766,0
4314,0
3715,0
7039,1
5374,1
6105,1
1059,0
5827,1
6663,1
9169,1
8285,1
2551,0
3114,0
7245,1
5783,1
2745,0
8388,1
8177,1
7904,1
9072,1
5949,1
6897,1
5517,1
327,0
3739,0
5007,1
7839,1
6509,1
5604,1
5072,1
5529,1
3997,0
3146,0
4791,1
3468,0
4876,1
7343,1
7713,1
7482,1
3520,0
1559,0
2418,0
7674,1
6651,1
698,0
3535,0
1000,0
8993,1
8127,1
996,0
767,0
8011,1
4579,0
6738,1
7541,1
2655,0
982,0
8397,1
6671,1
7024,1
5380,1
7137,1
7157,1
5835,1
830,0
9058,1
1733,0
9147,1
787,0
7912,1
54,0
8303,1
8032,1
850,0
7384,1
1632,0
7002,1
7979,1
2947,0
2356,0
8381,1
2825,0
2608,0
3042,0
6147,1
2368,0
6078,1
4369,0
8147,1
1476,0
5799,1
6387,1
3591,0
8437,1
3460,0
3546,0
2354,0
50,0
5979,1
2121,0
3047,0
5388,1
6627,1
552,0
7505,1
3576,0
3952,0
660,0
3053,0
8631,1
5755,1
5386,1
3932,0
2936,0
2032,0
4815,1
7597,1
4081,0
6686,1
5879,1
8801,1
4412,0
6296,1
6218,1
8029,1
7289,1
4049,0
441,0
8008,1
1406,0
1973,0
3138,0
6442,1
1026,0
2119,0
4605,0
6134,1
4951,1
5031,1
3999,0
6362,1
6661,1
5592,1
8874,1
3338,0
8395,1
9229,1
833,0
4444,0
8051,1
3435,0
3711,0
5128,1
3499,0
4034,0
8685,1
8279,1
891,0
626,0
4387,0
3377,0
3033,0
109,0
9065,1
4584,0
3413,0
3636,0
5227,1
2333,0
7532,1
8035,1
2445,0
8295,1
6005,1
7170,1
5457,1
534,0
1138,0
2632,0
1875,0
9150,1
7014,1
8060,1
3112,0
6975,1
1194,0
4380,0
7182,1
6844,1
6565,1
5088,1
899,0
5846,1
1667,0
5,0
5063,1
1223,0
1122,0
8480,1
2770,0
3190,0
3492,0
6206,1
8890,1
7550,1
201,0
